model,token,count
deepseek-r1:8b,your,1194
deepseek-r1:8b,with,1186
deepseek-r1:8b,support,990
deepseek-r1:8b,community,947
deepseek-r1:8b,wellness,780
deepseek-r1:8b,like,744
deepseek-r1:8b,land,716
deepseek-r1:8b,based,690
deepseek-r1:8b,that,676
deepseek-r1:8b,help,673
deepseek-r1:8b,local,672
deepseek-r1:8b,mental,602
llama3.2:latest,your,1662
llama3.2:latest,support,1553
llama3.2:latest,mental,1072
llama3.2:latest,options,1062
llama3.2:latest,based,1000
llama3.2:latest,community,957
llama3.2:latest,wellness,937
llama3.2:latest,that,914
llama3.2:latest,with,899
llama3.2:latest,crisis,854
llama3.2:latest,you're,743
llama3.2:latest,local,713
mistral:7b,your,1493
mistral:7b,wellness,1316
mistral:7b,support,1283
mistral:7b,mental,1156
mistral:7b,help,1006
mistral:7b,with,977
mistral:7b,crisis,912
mistral:7b,healing,851
mistral:7b,based,821
mistral:7b,services,795
mistral:7b,community,788
mistral:7b,local,730
